-THEREDDKING-,Duct-Ties & Zip-Tape Qualifier,11/05/16,Georgia
SF-1-2|9914,6148|5214,8804|50,10,40,0,0|15,0,15,0,0
SF-2-1|8872,6982|11475,3873|105,50,15,40,0|70,25,45,0,0
SF-2-2|8872,6982|11475,3873|80,30,10,40,0|80,30,50,0,0
SF-2-3|8872,6982|11475,3873|65,45,20,0,0|90,55,35,0,0
SF-2-4|8872,6982|11475,3873|90,55,35,0,0|90,55,35,0,0
SF-2-5|8872,6982|11475,3873|100,45,45,10,0|140,50,40,0,50
F-1|9914,6148|11475,3873|50,25,25,0,0|65,25,40,0,0
F-2|9914,6148|11475,3873|40,25,15,0,0|30,5,25,0,0
F-3|9914,6148|11475,3873|60,10,30,20,0|65,50,15,0,0
-THEREDDKING-,Mississippi FTC Gulf Coast Qualifier,12/03/16,Mississippi
Q-1|6556,10663|11733,8609|10,0,0,0,10|85,10,35,40,0
Q-2|11195,6831|11698,11033|15,5,0,0,10|0,0,0,0,0
Q-3|12272,6831|8609,11698|45,10,35,0,0|70,0,30,40,0
Q-4|11733,12272|11195,6556|15,10,5,0,0|40,20,20,0,0
Q-5|10663,11698|11033,6556|0,0,0,0,0|60,20,40,0,0
Q-6|11195,12272|6831,10663|45,15,30,0,0|0,0,0,0,0
Q-7|8609,11033|11733,6831|110,35,35,40,0|0,0,0,0,0
Q-8|11033,11733|10663,12272|15,0,15,0,0|56,10,46,0,0
Q-9|6556,11698|11195,8609|55,5,50,0,0|85,35,30,20,0
Q-10|11698,11195|11733,10663|10,0,10,0,0|10,0,0,10,0
Q-11|6556,12272|6831,11033|105,20,75,10,0|20,0,0,10,10
Q-12|8609,10663|6831,11698|95,35,20,40,0|35,5,20,10,0
Q-13|11033,11195|8609,12272|10,0,0,0,10|125,0,85,40,0
Q-14|11733,11195|6556,6831|0,0,0,0,0|80,15,65,0,0
SF-1-1|8609,11033|10663,11733|110,5,65,40,0|11,0,1,10,0
SF-1-2|8609,11033|10663,11733|140,35,65,40,0|16,5,1,10,0
SF-2-1|12272,6556|11195,6831|60,25,35,0,0|10,0,10,0,0
SF-2-2|12272,6556|11195,6831|65,20,45,0,0|20,0,20,0,0
F-1|8609,11033|12272,6556|140,20,80,40,0|30,25,5,0,0
F-2|8609,11033|12272,6556|55,35,10,10,0|90,25,65,0,0
F-3|8609,11033|12272,6556|70,5,25,40,0|80,25,55,0,0
-THEREDDKING-,FIRST Tech Challenge Newark OH Qualifying Tournament (Central OH),12/03/16,Ohio
Q-1|4494,5029|4507,6298|40,10,30,0,0|60,5,15,40,0
Q-2|4537,5754|10489,10586|45,25,20,0,0|20,0,20,0,0
Q-3|3903,9606|9828,11187|85,5,40,0,40|26,5,1,20,0
Q-4|11915,4510|6961,5256|20,0,20,0,0|50,15,35,0,0
Q-5|6440,10084|8393,11091|5,5,0,0,0|0,0,0,0,0
Q-6|6450,9812|11135,6150|90,35,45,10,0|50,40,10,0,0
Q-7|9846,6298|10464,4537|35,10,25,0,0|30,10,20,0,0
